customer_id,churn,tenure,city_tier,warehouse_to_home,gender,hour_spend_on_app,number_of_device_registered,satisfaction_score,marital_status,number_of_address,complain,order_amount_hike_fromlast_year,coupon_used,order_count,day_since_last_order,cashback_amount,preferred_login_device,preferred_payment_mode,prefered_order_cat
50001,1.0,4.0,3.0,6.0,Female,3.0,3.0,2.0,Single,9.0,1.0,11.0,1.0,1.0,5.0,159.93,Mobile Phone,Debit Card,Laptop & Accessory
50002,1.0,2.917921033153802,1.0,8.0,Male,3.0,4.0,3.0,Single,7.0,1.0,15.0,0.0,1.0,0.0,120.9,Phone,UPI,Mobile
50003,1.0,3.6583107346041,1.0,30.0,Male,2.0,4.0,3.0,Single,6.0,1.0,14.0,0.0,1.0,3.0,120.28,Phone,Debit Card,Mobile
50004,1.0,0.0,3.0,15.0,Male,2.0,4.0,5.0,Single,8.0,0.0,23.0,0.0,1.0,3.0,134.07,Phone,Debit Card,Laptop & Accessory
50005,1.0,0.0,1.0,12.0,Male,2.3792327515978133,3.0,5.0,Single,3.0,0.0,11.0,1.0,1.0,3.0,129.6,Phone,COD,Mobile
50006,1.0,0.0,1.0,22.0,Female,3.0,5.0,5.0,Single,2.0,1.0,22.0,4.0,6.0,7.0,139.19,Mobile Phone,Debit Card,Mobile Phone
50007,1.0,3.2828229970299105,3.0,11.0,Male,2.0,3.0,2.0,Divorced,4.0,0.0,14.0,0.0,1.0,0.0,120.86,Phone,Cash on Delivery,Laptop & Accessory
50008,1.0,1.3123197950412102,1.0,6.0,Male,3.0,3.0,2.0,Divorced,3.0,1.0,16.0,2.0,2.0,0.0,122.93,Phone,COD,Mobile
50009,1.0,13.0,3.0,9.0,Male,2.4926361677714937,4.0,3.0,Divorced,2.0,1.0,14.0,0.0,1.0,2.0,126.83,Phone,E wallet,Mobile
50010,1.0,-0.294057152779315,1.0,31.0,Male,2.0,5.0,3.0,Single,2.0,0.0,12.0,1.0,1.0,1.0,122.93,Phone,Debit Card,Mobile
50011,1.0,4.0,1.0,18.0,Female,2.0,3.0,3.0,Divorced,2.0,0.0,15.215698074359391,9.0,15.0,8.0,295.45,Mobile Phone,Cash on Delivery,Others
50012,1.0,11.0,1.0,6.0,Male,3.0,4.0,3.0,Single,10.0,1.0,13.0,0.0,1.0,0.0,153.81,Mobile Phone,Debit Card,Grocery
50013,1.0,0.0,1.0,11.0,Male,2.0,3.0,3.0,Single,2.0,1.0,13.0,2.0,2.0,2.0,134.41,Phone,COD,Mobile
50014,1.0,0.0,1.0,15.0,Male,3.0,4.0,3.0,Divorced,1.0,1.0,17.0,0.0,1.0,0.0,133.88,Phone,COD,Mobile
50015,1.0,9.0,3.0,15.0,Male,3.0,4.0,2.0,Single,2.0,0.0,16.0,0.0,4.0,7.0,196.19,Mobile Phone,Credit Card,Grocery
50016,1.0,1.5062675110724806,2.0,12.0,Male,3.0,3.0,5.0,Married,5.0,1.0,22.0,1.0,1.0,2.0,120.73,Phone,UPI,Mobile
50017,1.0,0.0,1.0,12.0,Female,2.5865924466932912,4.0,2.0,Single,2.0,1.0,18.0,1.0,1.0,0.0,129.26,Mobile Phone,Debit Card,Mobile
50018,1.0,0.0,3.0,11.0,Male,2.0,4.0,3.0,Single,2.0,1.0,11.0,1.0,1.0,3.0,157.44,Mobile Phone,E wallet,Laptop & Accessory
50019,1.0,0.0,1.0,13.0,Male,3.0,5.0,3.0,Single,2.0,1.0,24.0,1.0,1.0,6.0,160.74,Mobile Phone,Debit Card,Laptop & Accessory
50020,1.0,19.0,1.0,20.0,Female,3.0,3.0,4.0,Divorced,10.0,1.0,18.0,1.0,4.0,3.0,149.63,Mobile Phone,Debit Card,Mobile Phone
50021,1.0,0.0,3.0,12.0,Male,3.0,5.0,3.0,Divorced,5.0,1.0,18.0,6.0,7.0,7.0,161.72,Mobile Phone,Debit Card,Laptop & Accessory
50022,1.0,20.0,1.0,29.0,Female,3.0,3.0,2.0,Divorced,2.0,0.0,12.0,11.0,15.0,6.0,203.12,Mobile Phone,Credit Card,Grocery
50023,1.0,0.3511802874366392,3.0,28.0,Male,2.0,3.0,3.0,Single,2.0,1.0,19.0,0.0,1.0,0.0,116.75,Mobile Phone,E wallet,Mobile Phone
50024,1.0,0.0,3.0,26.0,Female,3.0,5.0,3.0,Divorced,4.0,1.0,11.0,1.0,2.0,2.0,145.59,Phone,Debit Card,Laptop & Accessory
50025,1.0,14.0,1.0,14.0,Male,2.0,5.0,2.0,Single,3.0,0.0,15.0,0.0,1.0,3.0,206.5,Mobile Phone,Debit Card,Grocery
50026,1.0,0.0,1.0,15.0,Female,2.0,3.0,5.0,Single,8.0,0.0,22.0,1.0,1.0,4.0,142.0,Phone,Credit Card,Mobile Phone
50027,0.0,8.0,3.0,6.0,Male,3.0,3.0,4.0,Divorced,2.0,0.0,13.0,1.0,1.0,6.0,172.95,Mobile Phone,E wallet,Grocery
50028,0.0,10.957400813547418,3.0,12.0,Male,2.0,3.0,3.0,Divorced,3.0,1.0,20.0,0.0,4.0,5.0,123.06,Phone,E wallet,Laptop & Accessory
50029,0.0,18.0,1.0,15.395542572776918,Male,2.0,3.0,4.0,Married,9.0,0.0,18.0,1.0,1.0,15.0,123.48,Phone,Debit Card,Laptop & Accessory
50030,0.0,5.0,3.0,14.0,Female,2.0,3.0,2.0,Single,2.0,0.0,14.0,2.0,3.0,7.0,189.98,Mobile Phone,E wallet,Grocery
50031,0.0,2.0,1.0,6.0,Male,2.0,3.0,3.0,Divorced,2.0,0.0,13.0,0.0,1.0,9.0,143.19,Mobile Phone,COD,Laptop & Accessory
50032,0.0,0.0,1.0,13.0,Male,2.0,4.0,3.0,Divorced,3.0,0.0,17.0,1.0,1.0,0.0,161.32,Mobile Phone,Credit Card,Laptop & Accessory
50033,0.0,30.0,1.0,15.0,Female,3.0,4.0,4.0,Divorced,5.0,1.0,20.0,1.0,1.0,0.0,133.46,Phone,COD,Mobile
50034,0.0,13.0,3.0,10.0,Male,3.0,4.0,2.0,Divorced,8.0,0.0,11.0,2.0,2.0,11.0,208.55,Mobile Phone,E wallet,Grocery
50035,0.0,10.564057908876208,3.0,8.0,Female,3.0,3.0,3.0,Divorced,7.0,0.0,18.0,1.0,1.0,2.0,122.31,Mobile Phone,E wallet,Mobile
50036,0.0,0.0,1.0,16.356956955067076,Male,3.0,3.0,2.0,Divorced,2.0,0.0,24.0,0.0,2.0,2.0,123.23,Phone,COD,Mobile
50037,0.0,9.879835049051051,1.0,15.0,Male,2.0,3.0,4.0,Married,7.0,0.0,18.0,0.0,2.0,2.0,120.24,Mobile Phone,COD,Mobile
50038,0.0,1.0,1.0,27.0,Male,2.426291708738497,3.0,2.0,Divorced,2.0,0.0,11.0,0.0,1.0,2.0,127.13,Phone,COD,Mobile
50039,0.0,30.0,1.0,30.0,Male,2.0,2.0,2.0,Married,4.0,1.0,16.0,1.0,1.0,4.0,194.39,Mobile Phone,Debit Card,Grocery
50040,0.0,0.0,1.0,15.684526653296466,Male,3.0,4.0,3.0,Married,2.0,1.0,15.0,0.0,1.0,1.0,125.66,Mobile Phone,COD,Mobile
50041,0.0,23.0,1.0,17.0,Female,2.0,3.0,4.0,Single,4.0,0.0,15.37319544078975,2.0,4.0,4.0,299.26,Mobile Phone,Debit Card,Others
50042,0.0,14.0,1.0,13.824603812469816,Male,2.0,3.0,3.0,Married,5.0,0.0,12.0,1.0,1.0,8.0,124.51,Phone,Debit Card,Mobile
50043,0.0,3.0,3.0,11.0,Female,2.0,3.0,2.0,Divorced,3.0,0.0,12.0,2.0,7.0,4.0,194.19,Mobile Phone,Debit Card,Grocery
50044,0.0,11.0,3.0,6.0,Female,2.0,4.0,2.0,Single,5.0,0.0,22.0,1.0,1.0,1.0,186.86,Mobile Phone,Debit Card,Laptop & Accessory
50045,0.0,5.0,1.0,12.0,Male,2.5040922338633305,3.0,3.0,Single,4.0,0.0,20.0,0.0,1.0,4.0,130.38,Phone,Debit Card,Mobile
50046,0.0,0.0,1.0,23.0,Male,2.499189296384266,3.0,4.0,Divorced,1.0,1.0,16.0,1.0,1.0,1.0,130.58,Phone,COD,Mobile
50047,1.0,0.0,3.0,16.79799441945746,Female,3.0,5.0,5.0,Single,1.0,0.0,21.0,1.0,1.0,0.0,123.25,Mobile Phone,COD,Mobile
50048,0.0,8.592239218565487,1.0,9.0,Male,1.0,3.0,4.0,Single,5.0,0.0,12.0,4.0,7.0,2.0,120.88,Mobile Phone,COD,Mobile
50049,0.0,3.0,1.0,15.0,Male,2.290278711140398,3.0,5.0,Married,2.0,0.0,11.0,0.0,6.0,10.0,130.72,Mobile Phone,COD,Laptop & Accessory
50050,0.0,18.0,3.0,10.0,Female,1.0,3.0,5.0,Married,5.0,1.0,11.0,0.0,1.0,3.0,150.06,Mobile Phone,Debit Card,Laptop & Accessory
50051,0.0,29.0,1.0,14.0,Female,3.0,3.0,5.0,Married,5.0,1.0,18.0,1.0,2.0,2.0,142.57,Phone,Debit Card,Mobile Phone
50052,0.0,6.0,1.0,14.017616525924392,Male,2.0,3.0,2.0,Single,1.0,0.0,14.0,0.0,1.0,2.0,125.0,Phone,Debit Card,Mobile
50053,1.0,0.0,1.0,8.0,Male,2.0,4.0,2.0,Single,2.0,0.0,22.0,0.0,1.0,0.0,111.02,Mobile Phone,Debit Card,Mobile Phone
